the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,Location,Borough,Date_Insta,POINT_X,POINT_Y,FEMAFldz,FEMAFldT,HrcEvac,NTAname
POINT (-73.98233680978356 40.64097678955273),3,Brooklyn,312,39,44,17,9,14 Avenue and 36 Street,Brooklyn,08/18/2013,-73.98233681,40.64097679,X,AREA OF MINIMAL FLOOD HAZARD,,Borough Park
POINT (-73.89786388127138 40.82100576976568),2,Bronx,202,17,85,32,14,East 163rd Street and Rogers Place,Bronx,03/02/2014,-73.8978638,40.82100523,X,AREA OF MINIMAL FLOOD HAZARD,,Longwood
POINT (-73.92309121579618 40.816696398364826),2,Bronx,201,8,84,29,15,Morris Avenue and East 148th Street,Bronx,09/23/2022,-73.92309122,40.8166964,X,AREA OF MINIMAL FLOOD HAZARD,5,Mott Haven-Port Morris
POINT (-73.8813513214601 40.82565600493095),2,Bronx,209,17,85,32,14,Watson Avenue and Colgate Avenue,Bronx,09/20/2019,-73.88135127,40.82565545,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,4,Soundview-Bruckner-Bronx River
POINT (-73.8673102228194 40.72229035249609),4,Queens,406,29,28,15,6,Woodhaven Boulevard with Penelope Avenue and 63rd Drive,Queens,03/20/2020,-73.86731028,40.72228968,X,AREA OF MINIMAL FLOOD HAZARD,,Rego Park
POINT (-73.9804308490086 40.68989986427426),3,Brooklyn,302,35,57,26,7,DeKalb Avenue and Hudson Avenue,Brooklyn,05/11/2015,-73.98043075,40.6898994,X,AREA OF MINIMAL FLOOD HAZARD,,Fort Greene
POINT (-73.99475847083328 40.57788091203249),3,Brooklyn,313,47,46,23,8,Neptune Avenue and West 28th Street,Brooklyn,01/21/2021,-73.99475861,40.57788069,AE,,1,Coney Island-Sea Gate
POINT (-73.88342424908961 40.875742960801325),2,Bronx,207,11,80,33,15,Mosholu Parkway South and 100' South of East 206th Street,Bronx,07/15/2022,-73.88342425,40.87574296,X,AREA OF MINIMAL FLOOD HAZARD,,Norwood
POINT (-73.98222597979421 40.77387598429826),1,Manhattan,107,6,67,47,12,Broadway and West 66th Street,Manhattan,08/10/2016,-73.98222574,40.77387546,X,AREA OF MINIMAL FLOOD HAZARD,,Upper West Side-Lincoln Square
POINT (-73.85734907925378 40.85969713769627),2,Bronx,211,13,80,36,15,Williamsbridge Road and Astor Avenue,Bronx,04/11/2018,-73.85734908,40.85969714,X,AREA OF MINIMAL FLOOD HAZARD,,Pelham Gardens
POINT (-73.89272418943165 40.88270153983061),2,Bronx,208,11,81,31,13,"Van Cortlandt Avenue with Sedgwick Avenue, Stevenson Place and Gouverneur Avenue",Bronx,11/23/2022,-73.89272419,40.88270154,X,AREA OF MINIMAL FLOOD HAZARD,,Bedford Park
POINT (-73.94852323261364 40.74465911379672),4,Queens,402,26,37,59,7,Jackson Avenue and 21st Street,Queens,06/30/2019,-73.94852308,40.74465851,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3,Long Island City-Hunters Point
POINT (-73.78058952489981 40.713428712892856),4,Queens,408,24,29,11,5,Hillside Avenue with 182nd Street and Avon Street,Queens,08/08/2022,-73.78058952,40.71342871,X,AREA OF MINIMAL FLOOD HAZARD,,Jamaica Estates-Holliswood
POINT (-73.8490723738443 40.84706217478771),2,Bronx,211,13,82,34,14,Williamsbridge Road and Pierce Avenue,Bronx,05/24/2022,-73.84907237,40.84706217,X,AREA OF MINIMAL FLOOD HAZARD,,Morris Park
POINT (-73.89714227723506 40.86244468598539),2,Bronx,205,15,86,33,13,Grand Concourse and Fordham Road,Bronx,07/19/2012,-73.89714218,40.86244422,X,AREA OF MINIMAL FLOOD HAZARD,,Fordham Heights
POINT (-73.96787559370989 40.80135309406667),1,Manhattan,107,7,69,30,13,Broadway and West 106th Street,Manhattan,02/11/2020,-73.96787538,40.80135261,X,AREA OF MINIMAL FLOOD HAZARD,,Upper West Side-Manhattan Valley
POINT (-73.97621144527784 40.579827153416915),3,Brooklyn,313,47,46,23,8,Neptune Avenue with Shell Road and West 8th Street,Brooklyn,01/19/2022,-73.97621145,40.57982715,AE,,1,Coney Island-Sea Gate
POINT (-74.0128282027707 40.625455940279),3,Brooklyn,310,43,49,26,11,10 Avenue and 73 Street,Brooklyn,07/28/2020,-74.01282823,40.62545565,X,AREA OF MINIMAL FLOOD HAZARD,,Dyker Heights
POINT (-73.77968205835239 40.70859618241302),4,Queens,412,27,29,11,5,Jamaica Avenue at 181st Street,Queens,06/08/2020,-73.77968206,40.70859618,X,AREA OF MINIMAL FLOOD HAZARD,,Jamaica
POINT (-73.98789137344373 40.690469054600776),3,Brooklyn,302,33,52,26,10,Smith Street and Livingston Street,Brooklyn,07/13/2012,-73.98789126,40.6904686,X,AREA OF MINIMAL FLOOD HAZARD,,Downtown Brooklyn-DUMBO-Boerum Hill
POINT (-73.96141450263771 40.688707101222995),3,Brooklyn,302,35,57,25,7,Lafayette Avenue and Emerson Place (mid-block),Brooklyn,01/02/2019,-73.96141444,40.68870661,X,AREA OF MINIMAL FLOOD HAZARD,,Clinton Hill
POINT (-73.99470925581906 40.70299395855958),3,Brooklyn,302,33,52,26,10,"Old Fulton Street with Water Street, Everit Street and Furman Street",Brooklyn,11/12/2021,-73.9947091,40.70299349,AE,,1,Downtown Brooklyn-DUMBO-Boerum Hill
POINT (-73.89212779247869 40.878056966531844),2,Bronx,208,11,78,31,13,West 205th Street and 240' East of Goulden Avenue (mid-block),Bronx,10/14/2022,-73.89212779,40.87805697,X,AREA OF MINIMAL FLOOD HAZARD,,Bedford Park
POINT (-74.00347132818936 40.732373980320936),1,Manhattan,102,3,66,27,10,7th Avenue with Bleecker Street and Barrow Street,Manhattan,03/11/2020,-74.00347109,40.73237347,X,AREA OF MINIMAL FLOOD HAZARD,5,West Village
POINT (-73.99018072212284 40.6191319523177),3,Brooklyn,311,47,49,17,11,18 Avenue and 65 Street,Brooklyn,06/02/2022,-73.99018072,40.61913195,X,AREA OF MINIMAL FLOOD HAZARD,,Bensonhurst
POINT (-73.73811598341577 40.71398577350895),4,Queens,413,27,33,14,5,Hempstead Avenue and 218th Street,Queens,06/04/2021,-73.73811626,40.71398495,X,AREA OF MINIMAL FLOOD HAZARD,,Queens Village
POINT (-73.87659545667309 40.833882407696954),2,Bronx,209,18,85,32,14,East 174th Street and Stratford Avenue,Bronx,04/18/2020,-73.87659541,40.83388186,X,AREA OF MINIMAL FLOOD HAZARD,6,Soundview-Bruckner-Bronx River
POINT (-74.17886805901188 40.53553456024983),5,Staten Island,503,51,62,24,11,Amboy Road at Poillon Avenue,Staten Island,06/08/2020,-74.17886806,40.53553456,X,AREA OF MINIMAL FLOOD HAZARD,,Annadale-Huguenot-Prince's Bay-Woodrow
POINT (-73.92139435364585 40.6086814838553),3,Brooklyn,318,46,59,22,8,Flatbush Avenue between Avenue U and Avenue V (mid-block),Brooklyn,04/07/2018,-73.92139451,40.60868105,X,AREA OF MINIMAL FLOOD HAZARD,3,Marine Park-Mill Basin-Bergen Beach
POINT (-73.89921317220478 40.757847367159876),4,Queens,403,25,30,13,6,31st Avenue and 68th Street,Queens,06/16/2022,-73.89921317,40.75784737,X,AREA OF MINIMAL FLOOD HAZARD,,Jackson Heights
POINT (-73.94927490876177 40.62407340169568),3,Brooklyn,314,45,42,21,9,Avenue K and East 27th Street,Brooklyn,04/06/2022,-73.949275,40.624073,X,AREA OF MINIMAL FLOOD HAZARD,6,Midwood
POINT (-74.12706862417315 40.57640519377726),5,Staten Island,502,50,62,24,11,Richmond Road and Rockland Avenue,Staten Island,09/20/2022,-74.12706862,40.57640519,X,AREA OF MINIMAL FLOOD HAZARD,,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
POINT (-73.75312162625336 40.714090287882655),4,Queens,413,23,33,11,5,Jamaica Avenue and 207th Street,Queens,08/12/2019,-73.75312192,40.71408947,X,AREA OF MINIMAL FLOOD HAZARD,,Queens Village
POINT (-73.99018838160706 40.714054587525396),1,Manhattan,103,1,65,27,10,East Broadway and Rutgers Street,Manhattan,09/27/2022,-73.99018838,40.71405459,X,AREA OF MINIMAL FLOOD HAZARD,6,Chinatown-Two Bridges
POINT (-73.8596903624388 40.863072243152814),2,Bronx,211,13,80,33,15,Mace Avenue and Colden Avenue,Bronx,06/13/2014,-73.85969033,40.86307172,X,AREA OF MINIMAL FLOOD HAZARD,,Allerton
POINT (-73.91669058630808 40.674281138097136),3,Brooklyn,316,41,55,25,8,Saratoga Avenue and Bergen Street,Brooklyn,08/28/2020,-73.91669063,40.6742806,X,AREA OF MINIMAL FLOOD HAZARD,,Ocean Hill
POINT (-73.85034392398117 40.848993361673664),2,Bronx,211,13,82,34,14,Williamsbridge Road and Van Nest Avenue,Bronx,06/08/2022,-73.85034392,40.84899336,X,AREA OF MINIMAL FLOOD HAZARD,,Morris Park
POINT (-73.9349371427024 40.828160142731775),1,Manhattan,110,9,71,30,13,Harlem River Driveway 800' north of West 155 Street,Manhattan,05/20/2018,-73.93493714,40.82816014,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3,Harlem (North)
POINT (-73.99213844077951 40.759104914646336),1,Manhattan,104,3,75,47,12,9th Avenue and West  43rd Street,Manhattan,06/04/2018,-73.99213818,40.75910437,X,AREA OF MINIMAL FLOOD HAZARD,6,Hell's Kitchen
POINT (-73.93220182052839 40.79635875051112),1,Manhattan,111,8,68,29,13,Pleasant Avenue and East 118th Street,Manhattan,08/08/2020,-73.93220168,40.79635821,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3,East Harlem (North)
POINT (-73.94946106235454 40.83096198783754),1,Manhattan,109,7,71,30,13,Riverside Drive and West 151st Street,Manhattan,05/11/2017,-73.94946088,40.83096154,X,AREA OF MINIMAL FLOOD HAZARD,,Hamilton Heights-Sugar Hill
POINT (-73.82588616756865 40.87039518471417),2,Bronx,210,12,82,36,14,Co-op City Boulevard and Asch Loop North,Bronx,10/23/2022,-73.82588617,40.87039518,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,4,Co-op City
POINT (-73.96509615550025 40.576827276959825),3,Brooklyn,313,48,46,23,8,Brighton Beach Avenue and Brighton 2nd Street,Brooklyn,03/16/2022,-73.96509633,40.57682699,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1,Brighton Beach
POINT (-73.91325086042616 40.69130994872644),3,Brooklyn,304,37,54,18,7,Central Avenue and Jefferson Avenue,Brooklyn,02/25/2021,-73.91325088,40.69130938,X,AREA OF MINIMAL FLOOD HAZARD,,Bushwick (East)
POINT (-73.90773662260986 40.65794232924476),3,Brooklyn,316,42,55,19,8,Rockaway Avenue and Lott Avenue,Brooklyn,08/04/2022,-73.90773662,40.65794233,X,AREA OF MINIMAL FLOOD HAZARD,4,Brownsville
POINT (-73.98287746329399 40.76671453234766),1,Manhattan,104,3,75,28,12,8 Avenue and West 57 Street,Manhattan,08/28/2019,-73.98287746,40.76671453,X,AREA OF MINIMAL FLOOD HAZARD,,Midtown-Times Square
POINT (-73.8902753823615 40.86110946209818),2,Bronx,206,15,78,33,15,East Fordham Road and 3rd Avenue,Bronx,06/18/2022,-73.89027538,40.86110946,X,AREA OF MINIMAL FLOOD HAZARD,,Belmont
POINT (-73.98311297966221 40.73483707076387),1,Manhattan,106,2,74,59,12,2 Avenue and East 18 Street,Manhattan,07/13/2022,-73.98311298,40.73483707,X,AREA OF MINIMAL FLOOD HAZARD,4,Gramercy
POINT (-74.19377012564134 40.53583426584976),5,Staten Island,503,51,62,24,11,Huguenot Avenue and Drumgoole Road West,Staten Island,12/06/2022,-74.19377013,40.53583427,X,AREA OF MINIMAL FLOOD HAZARD,,Annadale-Huguenot-Prince's Bay-Woodrow
POINT (-73.96433058571426 40.797269316414685),1,Manhattan,107,7,69,30,13,Columbus Avenue midblock crossing between West 100th Street and West 104th Street (West 103rd Street),Manhattan,05/16/2018,-73.96433038,40.79726882,X,AREA OF MINIMAL FLOOD HAZARD,,Upper West Side-Manhattan Valley
POINT (-73.81447249571787 40.6755342649973),4,Queens,410,28,31,10,5,Rockaway Boulevard and 123rd Street,Queens,08/06/2019,-73.81447271,40.67553356,X,AREA OF MINIMAL FLOOD HAZARD,6,South Ozone Park
POINT (-73.99240339179843 40.71246279285448),1,Manhattan,103,1,65,27,10,Pike Street and Madison Street,Manhattan,08/06/2022,-73.99240339,40.71246279,X,AREA OF MINIMAL FLOOD HAZARD,,Chinatown-Two Bridges
POINT (-73.91561420095321 40.78145219021831),4,Queens,401,22,36,11,14,21st Street and 21st Road,Queens,04/21/2020,-73.9156141,40.7814516,X,AREA OF MINIMAL FLOOD HAZARD,,Astoria (North)-Ditmars-Steinway
POINT (-73.9728177859968 40.576705829523625),3,Brooklyn,313,48,46,23,8,West 5th Street and West Brighton Avenue,Brooklyn,02/22/2022,-73.97281795,40.57670556,AE,,1,Coney Island-Sea Gate
POINT (-74.12714635942524 40.59833059902945),5,Staten Island,502,50,63,24,11,Brielle Avenue and Suffolk Avenue,Staten Island,05/18/2022,-74.12714636,40.5983306,X,AREA OF MINIMAL FLOOD HAZARD,,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
POINT (-73.96796095253333 40.683726832424036),3,Brooklyn,302,35,57,25,7,Fulton Street and Vanderbilt Avenue,Brooklyn,02/09/2022,-73.96796089,40.68372636,X,AREA OF MINIMAL FLOOD HAZARD,,Clinton Hill
POINT (-73.95112013386914 40.820410056827455),1,Manhattan,109,9,70,30,13,Amsterdam Avenue and 250' South of West 138th Street (mid-block),Manhattan,12/10/2020,-73.95111995,40.82040959,X,AREA OF MINIMAL FLOOD HAZARD,,Manhattanville-West Harlem
POINT (-73.98451083353211 40.76079489947614),1,Manhattan,105,3,75,28,12,Broadway and West 49th Street,Manhattan,09/08/2021,-73.98451059,40.76079435,X,AREA OF MINIMAL FLOOD HAZARD,,Midtown-Times Square
POINT (-73.91275940413317 40.65452092189153),3,Brooklyn,317,42,55,19,9,Rockaway Pkwy at Brookdale Hospital entrance (w of Linden Blvd),Brooklyn,10/21/2016,-73.9127594,40.65452092,X,AREA OF MINIMAL FLOOD HAZARD,5,East Flatbush-Remsen Village
POINT (-73.9219464445062 40.841044468452786),2,Bronx,204,16,77,29,15,Edward L Grant Highway and Shakespeare Avenue,Bronx,09/09/2021,-73.92194631,40.841044,X,AREA OF MINIMAL FLOOD HAZARD,,Highbridge
POINT (-73.83348028029812 40.71833443131554),4,Queens,406,29,27,14,6,Grand Central Parkway Eastbound Service Road and 76th Road,Queens,10/13/2022,-73.83348028,40.71833443,X,AREA OF MINIMAL FLOOD HAZARD,4,Flushing Meadows-Corona Park
POINT (-73.98770999191734 40.77537257430564),1,Manhattan,107,6,67,47,12,West End Avenue and West 65th Street,Manhattan,03/26/2019,-73.98770974,40.77537206,X,AREA OF MINIMAL FLOOD HAZARD,,Upper West Side-Lincoln Square
POINT (-73.96689021053784 40.68348224327508),3,Brooklyn,302,35,57,25,7,Fulton Street and Clinton Avenue,Brooklyn,08/26/2020,-73.96689015,40.68348177,X,AREA OF MINIMAL FLOOD HAZARD,,Clinton Hill
POINT (-73.94777250755143 40.63399769129769),3,Brooklyn,314,45,42,21,9,Nostrand Avenue and Glenwood Road,Brooklyn,11/03/2016,-73.94777258,40.63399727,X,AREA OF MINIMAL FLOOD HAZARD,5,Flatbush
POINT (-74.2300624676961 40.507753836037146),5,Staten Island,503,51,62,24,11,Hylan Boulevard and Page Avenue,Staten Island,03/10/2020,-74.23006322,40.50775359,X,AREA OF MINIMAL FLOOD HAZARD,,Tottenville-Charleston
POINT (-73.90939437147003 40.84125488669046),2,Bronx,204,16,77,32,15,Morris Avenue and Teller Avenue,Bronx,08/21/2020,-73.90939426,40.8412544,X,AREA OF MINIMAL FLOOD HAZARD,,Claremont Park
POINT (-73.85456775865106 40.871209418378704),2,Bronx,211,12,83,36,15,Burke Avenue and Yates Avenue,Bronx,01/18/2017,-73.85456773,40.8712089,X,AREA OF MINIMAL FLOOD HAZARD,,Pelham Gardens
POINT (-73.86179058345323 40.857983360597245),2,Bronx,211,13,80,33,15,Pelham Parkway North and Bronxwood Avenue,Bronx,03/31/2022,-73.86179055,40.85798283,X,AREA OF MINIMAL FLOOD HAZARD,,Allerton
POINT (-73.94986046258089 40.8137989975646),1,Manhattan,109,9,70,30,13,St Nicholas Avenue and West 130th Street,Manhattan,06/13/2018,-73.94986046,40.813799,X,AREA OF MINIMAL FLOOD HAZARD,,Harlem (North)
POINT (-73.95252651787068 40.6312405781153),3,Brooklyn,314,45,42,21,9,Bedford Avenue between Avenue I and Campus Road (mid-block),Brooklyn,01/05/2012,-73.95252659,40.63124017,X,AREA OF MINIMAL FLOOD HAZARD,6,Flatbush
POINT (-73.9519994209704 40.798832399994524),1,Manhattan,110,9,68,29,13,Malcolm X Boulevard (Lenox Avenue) and West 111th Street,Manhattan,10/19/2021,-73.95199924,40.79883189,X,AREA OF MINIMAL FLOOD HAZARD,6,Harlem (South)
POINT (-73.86569257590017 40.665734529294056),3,Brooklyn,305,42,60,19,8,Stanley Avenue and Autumn Avenue,Brooklyn,01/11/2023,-73.86569258,40.66573453,X,AREA OF MINIMAL FLOOD HAZARD,3,East New York-City Line
POINT (-74.16178593613145 40.57533224526907),5,Staten Island,502,51,63,24,11,Forest Hill Road and Platinum Avenue,Staten Island,07/21/2022,-74.16178594,40.57533225,X,AREA OF MINIMAL FLOOD HAZARD,,New Springville-Willowbrook-Bulls Head-Travis
POINT (-73.90860959706427 40.86004173233091),2,Bronx,207,14,86,31,13,West 183rd Street and Andrews Avenue North,Bronx,11/05/2021,-73.90860948,40.86004128,X,AREA OF MINIMAL FLOOD HAZARD,,University Heights (North)-Fordham
POINT (-73.74574171074912 40.60340342176228),4,Queens,414,31,23,10,5,Cornaga Avenue and Beach 9th Street,Queens,09/23/2022,-73.74574171,40.60340342,X,AREA OF MINIMAL FLOOD HAZARD,1,Far Rockaway-Bayswater
POINT (-73.85304636920227 40.849548523036106),2,Bronx,211,13,80,34,15,Morris Park Avenue and Haight Avenue,Bronx,02/24/2023,-73.85304637,40.84954852,X,AREA OF MINIMAL FLOOD HAZARD,,Morris Park
POINT (-73.93397951422077 40.76282740400966),4,Queens,401,22,36,59,7,21st Street and 34th Avenue,Queens,03/05/2020,-73.93397938,40.7628268,X,AREA OF MINIMAL FLOOD HAZARD,5,Queensbridge-Ravenswood-Dutch Kills
POINT (-73.8973622071359 40.694109692080865),4,Queens,405,30,38,18,7,Cypress Avenue and Cooper Avenue,Queens,08/29/2022,-73.89736221,40.69410969,X,AREA OF MINIMAL FLOOD HAZARD,,Highland Park-Cypress Hills Cemeteries (North)
POINT (-73.87274942098335 40.83440192292087),2,Bronx,209,18,85,34,14,East 174 Street and Fteley Avenue,Bronx,12/13/2022,-73.87274942,40.83440192,X,AREA OF MINIMAL FLOOD HAZARD,5,Soundview-Bruckner-Bronx River
POINT (-73.74468852912852 40.605616939418276),4,Queens,414,31,23,10,5,Empire Avenue with Reads Lane and Balsam Court,Queens,10/22/2020,-73.74468889,40.60561615,X,AREA OF MINIMAL FLOOD HAZARD,1,Far Rockaway-Bayswater
POINT (-73.88643917088008 40.72165203692445),4,Queens,405,30,30,15,6,Eliot Avenue and 72nd Street,Queens,12/07/2016,-73.88643919,40.72165139,X,AREA OF MINIMAL FLOOD HAZARD,,Maspeth
POINT (-74.00616269363904 40.65262718966371),3,Brooklyn,307,38,51,26,10,4 Avenue and 39 Street,Brooklyn,10/15/2015,-74.00616265,40.65262684,X,AREA OF MINIMAL FLOOD HAZARD,5,Sunset Park (West)
POINT (-73.99156548842328 40.578234576644235),3,Brooklyn,313,47,46,23,8,Neptune Avenue and West 24th Street,Brooklyn,09/26/2022,-73.99156549,40.57823458,AE,,1,Coney Island-Sea Gate
POINT (-73.8428860183957 40.84640616358462),2,Bronx,211,13,82,34,14,Waters Place and Marconi Street,Bronx,10/07/2022,-73.84288602,40.84640616,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2,Hutchinson Metro Center
POINT (-73.98729966606315 40.692233878498534),3,Brooklyn,302,33,52,26,10,Jay Street and Willoughby Street,Brooklyn,02/13/2013,-73.98729955,40.69223342,X,AREA OF MINIMAL FLOOD HAZARD,,Downtown Brooklyn-DUMBO-Boerum Hill
POINT (-73.82709170833898 40.7571448571419),4,Queens,407,20,40,16,6,Kissena Boulevard and Sanford Avenue,Queens,11/28/2016,-73.82709181,40.75714412,X,AREA OF MINIMAL FLOOD HAZARD,,Flushing-Willets Point
POINT (-73.98483073023135 40.68693068192767),3,Brooklyn,302,33,52,26,10,Atlantic Avenue and Bond Street,Brooklyn,11/26/2013,-73.98483063,40.68693023,X,AREA OF MINIMAL FLOOD HAZARD,,Downtown Brooklyn-DUMBO-Boerum Hill
POINT (-73.90632494356282 40.75983846168084),4,Queens,401,22,30,12,14,Hobart Street and 30th Avenue,Queens,12/18/2019,-73.90632487,40.75983782,X,AREA OF MINIMAL FLOOD HAZARD,,Astoria (East)-Woodside (North)
POINT (-73.94385627167054 40.80699463481523),1,Manhattan,110,9,70,30,13,West 125th Street at 450’ west of 5th Avenue,Manhattan,10/28/2016,-73.94385627,40.80699463,X,AREA OF MINIMAL FLOOD HAZARD,6,Harlem (South)
POINT (-73.83888255108916 40.85637993602325),2,Bronx,211,13,82,34,14,Stillwell Avenue and Pelham Parkway South (Service Road),Bronx,10/25/2019,-73.83888256,40.85637937,X,AREA OF MINIMAL FLOOD HAZARD,5,Morris Park
POINT (-74.1489897989278 40.624190683636094),5,Staten Island,501,49,61,23,11,Richmond Avenue and Monsey Place,Staten Island,10/07/2020,-74.1489899,40.62419055,X,AREA OF MINIMAL FLOOD HAZARD,,Mariner's Harbor-Arlington-Graniteville
POINT (-73.84980114207896 40.72440084839797),4,Queens,406,29,28,15,6,Queens Boulevard and 68th Drive,Queens,10/13/2022,-73.84980114,40.72440085,X,AREA OF MINIMAL FLOOD HAZARD,,Forest Hills
POINT (-73.93846606713299 40.71249107403128),3,Brooklyn,301,34,53,18,7,Grand Street with Waterbury Street and Olive Street,Brooklyn,08/12/2020,-73.938466,40.71249051,X,AREA OF MINIMAL FLOOD HAZARD,6,East Williamsburg
POINT (-73.86096503789072 40.83265914786998),2,Bronx,209,18,87,34,14,Hugh Grant Circle and Virginia Avenue,Bronx,09/08/2022,-73.86096504,40.83265915,X,AREA OF MINIMAL FLOOD HAZARD,5,Castle Hill-Unionport
POINT (-73.9344954825422 40.744853910592056),4,Queens,402,26,37,12,7,Thomson Avenue and 31st Place (mid-block),Queens,05/27/2020,-73.93449536,40.74485329,X,AREA OF MINIMAL FLOOD HAZARD,6,Sunnyside
